,estalt,vario,elapsed,timestamp
428,-416.0,-1.0,0.015,1681843431.50
429,-407.0,-1.0,0.015,1681843431.58
430,,,,
431,,,,
432,-118.0,175.0,0.015,1681843431.72
433,,,,
434,-399.0,-1.0,0.015,1681843431.88
435,-357.0,-1.0,0.015,1681843431.96
436,-391.0,-1.0,0.015,1681843432.04
437,-391.0,-1.0,0.015,1681843432.12
438,-332.0,-1.0,0.015,1681843432.20
439,-382.0,-1.0,0.015,1681843432.28
440,-424.0,-1.0,0.015,1681843432.36
441,-357.0,-1.0,0.015,1681843432.44
442,-357.0,-1.0,0.015,1681843432.52
443,-365.0,-1.0,0.014,1681843432.60
444,-349.0,-1.0,0.015,1681843432.68
445,-391.0,-1.0,0.015,1681843432.76
446,-349.0,-1.0,0.015,1681843432.84
447,-357.0,-1.0,0.015,1681843432.92
448,-399.0,-1.0,0.015,1681843433.00
449,-407.0,-1.0,0.014,1681843433.09
450,-399.0,-1.0,0.015,1681843433.16
451,-391.0,-1.0,0.015,1681843433.24
452,-365.0,-1.0,0.015,1681843433.32
453,-365.0,-1.0,0.015,1681843433.40
454,-416.0,-1.0,0.015,1681843433.48
455,-365.0,-1.0,0.015,1681843433.56
456,-365.0,-1.0,0.015,1681843433.65
457,-432.0,-1.0,0.015,1681843433.73
458,-391.0,-1.0,0.014,1681843433.80
459,-399.0,-1.0,0.015,1681843433.88
460,-365.0,-1.0,0.015,1681843433.96
461,-432.0,-1.0,0.015,1681843434.04
462,-441.0,-1.0,0.015,1681843434.12
463,-416.0,-1.0,0.015,1681843434.20
464,-432.0,-1.0,0.015,1681843434.29
465,-365.0,-1.0,0.015,1681843434.36
466,-424.0,-1.0,0.015,1681843434.44
467,-483.0,-1.0,0.015,1681843434.52
468,,,,
469,-441.0,-1.0,0.014,1681843434.67
470,-424.0,-1.0,0.014,1681843434.75
471,-424.0,-1.0,0.016,1681843434.83
472,-449.0,-1.0,0.016,1681843434.91
473,-424.0,-1.0,0.015,1681843434.99
474,-449.0,-1.0,0.016,1681843435.07
475,-432.0,-1.0,0.016,1681843435.15
476,-441.0,-1.0,0.015,1681843435.23
477,-466.0,-1.0,0.016,1681843435.31
478,-424.0,-1.0,0.016,1681843435.39
479,-449.0,-1.0,0.015,1681843435.47
480,-466.0,-1.0,0.016,1681843435.55
481,-449.0,-1.0,0.016,1681843435.63
482,-458.0,-1.0,0.015,1681843435.71
483,-449.0,-1.0,0.016,1681843435.79
484,-449.0,-1.0,0.016,1681843435.87
485,-441.0,-1.0,0.015,1681843435.95
486,-432.0,-1.0,0.016,1681843436.03
487,,,,
488,1539.0,123.0,0.0,1681843436.13
489,-82.0,220.0,0.016,1681843436.21
490,-416.0,-1.0,0.016,1681843436.29
491,-424.0,-1.0,0.016,1681843436.37
492,-508.0,-1.0,0.016,1681843436.45
493,-416.0,-1.0,0.016,1681843436.53
494,-441.0,-1.0,0.016,1681843436.61
495,-466.0,-1.0,0.015,1681843436.69
496,-458.0,-1.0,0.016,1681843436.77
497,-449.0,-1.0,0.016,1681843436.85
498,-432.0,-1.0,0.015,1681843436.93
499,-441.0,-1.0,0.016,1681843437.01
500,-458.0,-1.0,0.016,1681843437.09
501,-458.0,-1.0,0.015,1681843437.17
502,-449.0,-1.0,0.016,1681843437.25
503,-382.0,-1.0,0.016,1681843437.33
504,-432.0,-1.0,0.015,1681843437.41
505,-424.0,-1.0,0.016,1681843437.49
506,-424.0,-1.0,0.016,1681843437.57
507,,,,
508,239.0,-218.0,0.015,1681843437.66
509,-432.0,-1.0,0.016,1681843437.74
510,-508.0,-1.0,0.016,1681843437.82
511,-416.0,-1.0,0.015,1681843437.90
512,-449.0,-1.0,0.016,1681843437.98
513,-432.0,-1.0,0.016,1681843438.06
514,-407.0,-1.0,0.015,1681843438.14
515,-407.0,-1.0,0.016,1681843438.22
516,-416.0,-1.0,0.016,1681843438.30
517,-399.0,-1.0,0.015,1681843438.38
518,-458.0,-1.0,0.016,1681843438.46
519,-449.0,-1.0,0.016,1681843438.54
520,-399.0,-1.0,0.015,1681843438.62
521,-382.0,-1.0,0.016,1681843438.70
522,-432.0,-1.0,0.016,1681843438.78
523,-432.0,-1.0,0.015,1681843438.86
524,-399.0,-1.0,0.016,1681843438.94
525,-449.0,-1.0,0.016,1681843439.02
526,,,,
527,,,,
528,,,,
529,1500.0,1500.0,0.015,1681843439.12
530,-416.0,-1.0,0.016,1681843439.20
531,221.0,-28.0,0.015,1681843439.28
