,roll,pitch,yaw,throttle,elapsed,timestamp
5496,1500,1500,1500,885,0.015,1681843817.28
5497,1500,1500,1500,885,0.015,1681843817.36
5498,1500,1500,1500,885,0.015,1681843817.44
5499,1500,1500,1500,885,0.015,1681843817.52
5500,1500,1500,1500,885,0.015,1681843817.60
5501,1500,1500,1500,885,0.015,1681843817.68
5502,1500,1500,1500,885,0.015,1681843817.76
5503,1500,1500,1500,885,0.016,1681843817.84
5504,1500,1500,1500,885,0.016,1681843817.92
5505,1500,1500,1500,885,0.016,1681843818.00
5506,1500,1500,1500,885,0.016,1681843818.08
5507,1500,1500,1500,885,0.016,1681843818.16
5508,1500,1500,1500,885,0.015,1681843818.24
5509,1500,1500,1500,885,0.015,1681843818.32
5510,1500,1500,1500,885,0.015,1681843818.40
5511,1500,1500,1500,885,0.015,1681843818.48
5512,1500,1500,1500,885,0.015,1681843818.56
5513,1500,1500,1500,885,0.015,1681843818.64
5514,1500,1500,1500,885,0.016,1681843818.72
